Fisier,Caracteristica,Cod,Axa,NOMINAL,+TOL,-TOL,MEAS,DEV,OUTTOL
SER_235338AAA597638.PDF,PAGINA 1,LOC43,R,3.000,0.300,0.300,2.973,-0.026,0.000
SER_235338AAA597638.PDF,PAGINA 1,LOC44,R,3.000,0.300,0.300,2.988,-0.012,0.000
SER_235338AAA597638.PDF,PAGINA 1,LOC16,R,2.000,0.300,0.300,1.917,-0.083,0.000
SER_235338AAA597638.PDF,PAGINA 1,LOC17,R,2.000,0.300,0.300,1.893,-0.107,0.000
SER_235338AAA597638.PDF,PAGINA 1,DIST6,M,17.000,0.001,0.001,17.000,0.000,0.000
SER_235338AAA597638.PDF,PAGINA 2,LOC4Z,R,91.500,0.300,0.300,91.471,-0.029,0.000
SER_235338AAA597638.PDF,PAGINA 2,LOC25,R,5.000,0.100,0.100,5.015,0.015,0.000
SER_235338AAA597638.PDF,PAGINA 2,LOC26,R,5.000,0.100,0.100,5.012,0.012,0.000
SER_235338AAA597638.PDF,PAGINA 2,DIST8,M,6.720,0.100,0.100,6.754,0.034,0.000
SER_235338AAA597638.PDF,PAGINA 2,DIST1O,M,6.720,0.100,0.100,6.752,0.032,0.000
SER_235338AAA597638.PDF,PAGINA 2,nimicA,M,0.000,0.050,0.000,0.002,0.002,0.000
SER_235338AAA597638.PDF,POSITION MM,FCFLOC2,A,0.000,0.050,0.009,0.009,90.000,0
SER_235338AAA597638.PDF,PAGINA 3,DISTS,M,9.050,0.050,0.050,9.024,-0.026,0.000
SER_235338AAA597638.PDF,PAGINA 3,DIST7,M,9.050,0.050,0.050,9.038,-0.012,0.000
SER_235338AAA597638.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.011,0.011,0.000
SER_235338AAA597638.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.012,0.012,0.000
SER_235338AAA597638.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.012,0.012,0.000
SER_235338AAA597638.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.200,0.200,0.006,0.006,0.000
SER_235338AAA597638.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.068,0.068,0.000
SER_235338AAA597638.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.081,0.081,0.000
SER_235338AAA597638.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.078,0.078,0.000
SER_235338AAA597638.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.083,0.083,0.000
SER_235338AAA597638.PDF,PAGINA 5,LOC28,Z,-9.050,0.050,0.050,-9.062,-0.012,0.000
SER_235338AAA597638.PDF,PAGINA 5,LOC22,R,0.500,0.100,0.100,0.556,0.056,0.000
SER_235338AAA597638.PDF,PAGINA 5,DIST11,M,81.400,0.050,0.050,81.369,-0.031,0.000
SER_235338AAA597638.PDF,PAGINA 6,DIST12,M,115.550,0.300,0.300,115.545,-0.005,0.000
SER_235338AAA597638.PDF,PAGINA 6,LOC23,R,0.500,0.100,0.100,0.537,0.037,0.000
SER_235338AAA597638.PDF,PAGINA 6,DIST9,M,4.800,0.300,0.300,4.840,0.040,0.000
SER_235338AAA597638.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.079,0.079,0.000
SER_235338AAA597638.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.067,0.067,0.000
SER_235338AAA597638.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.017,0.017,0.000
SER_235338AAA597638.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.017,0.017,0.000
SER_235338AAA597638.PDF,PAGINA 6,DIST13,M,1.100,0.100,0.100,1.114,0.014,0.000
SER_235338AAA597638.PDF,PAGINA 6,DIST15,M,1.100,0.100,0.100,1.107,0.007,0.000
SER_235338AAA597638.PDF,PAGINA 7,LOC36,R,0.500,0.100,0.100,0.493,-0.007,0.000
SER_235338AAA597638.PDF,PAGINA 7,LOC51,R,0.500,0.100,0.100,0.499,-0.001,0.000
SER_235338AAA597638.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.200,0.200,0.035,0.035,0.000
SER_235338AAA597638.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.200,0.200,0.033,0.033,0.000
SER_235338AAA597638.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.100,0.100,0.013,0.013,0.000
SER_235338AAA597638.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.100,0.100,0.002,0.002,0.000
SER_235338AAA597638.PDF,PAGINA 7,LOC37,R,1.500,0.050,0.050,1.508,0.008,0.000
SER_235338AAA597638.PDF,PAGINA 7,LOC4S,R,1.500,0.050,0.050,1.504,0.004,0.000
SER_235338AAA597638.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.100,0.100,0.014,0.014,0.000
SER_235338AAA597638.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.100,0.100,0.012,0.012,0.000
SER_235338AAA597638.PDF,PAGINA 8,DIST1,M,17.600,0.100,0.100,17.614,0.014,0.000
SER_235338AAA597638.PDF,PAGINA 8,DIST2,M,17.600,0.100,0.100,17.608,0.008,0.000
SER_235338AAA597638.PDF,PAGINA 8,FORMANDLOCATION,M,0.000,0.100,0.100,0.012,0.012,0.000
SER_235338AAA597638.PDF,PAGINA 8,FORMANDLOCATION,M,0.000,0.100,0.100,0.013,0.013,0.000
SER_235338AAA597638.PDF,PAGINA 8,FORMANDLOCATION,M,0.000,0.100,0.100,0.026,0.026,0.000
SER_235338AAA597638.PDF,PAGINA 8,FORMANDLOCATION,M,0.000,0.100,0.100,0.023,0.023,0.000
SER_235338AAA597638.PDF,PAGINA 9,DIST3,M,11.050,0.050,0.050,11.020,-0.030,0.000
SER_235338AAA597638.PDF,PAGINA 9,DIST14,M,11.050,0.050,0.050,11.021,-0.029,0.000
SER_235338AAA597638.PDF,PAGINA 9,DIST4,M,8.000,0.100,0.100,8.039,0.039,0.000
SER_235338AAA597638.PDF,PAGINA 9,DIST16,M,8.000,0.100,0.100,8.001,0.001,0.000
SER_235338AAA597638.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.060,0.060,0.000
SER_235338AAA597638.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.007,0.007,0.000
SER_235338AAA597638.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.023,0.023,0.000
SER_235338AAA597638.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.023,0.023,0.000
SER_235338AAA597638.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.052,0.052,0.000
SER_235338AAA597639.PDF,PAGINA 1,LOC43,R,3.000,0.300,0.300,2.954,-0.046,0.000
SER_235338AAA597639.PDF,PAGINA 1,LOC44,R,3.000,0.300,0.300,2.985,-0.015,0.000
SER_235338AAA597639.PDF,PAGINA 1,LOC16,R,2.000,0.300,0.300,1.901,-0.099,0.000
SER_235338AAA597639.PDF,PAGINA 1,LOC17,R,2.000,0.300,0.300,1.871,-0.129,0.000
SER_235338AAA597639.PDF,PAGINA 1,DIST6,M,17.000,0.001,0.001,17.000,0.000,0.000
SER_235338AAA597639.PDF,PAGINA 2,LOC4Z,R,91.500,0.300,0.300,91.471,-0.029,0.000
SER_235338AAA597639.PDF,PAGINA 2,LOC25,R,5.000,0.100,0.100,5.012,0.012,0.000
SER_235338AAA597639.PDF,PAGINA 2,LOC26,R,5.000,0.100,0.100,5.031,0.031,0.000
SER_235338AAA597639.PDF,PAGINA 2,DIST8,M,6.720,0.100,0.100,6.753,0.033,0.000
SER_235338AAA597639.PDF,PAGINA 2,DIST1O,M,6.720,0.100,0.100,6.754,0.034,0.000
SER_235338AAA597639.PDF,PAGINA 2,nimicA,M,0.000,0.050,0.000,0.004,0.004,0.000
SER_235338AAA597639.PDF,POSITION MM,FCFLOC2,A,0.000,0.050,0.009,0.009,90.000,0
SER_235338AAA597639.PDF,PAGINA 3,DISTS,M,9.050,0.050,0.050,9.041,-0.009,0.000
SER_235338AAA597639.PDF,PAGINA 3,DIST7,M,9.050,0.050,0.050,9.049,-0.001,0.000
SER_235338AAA597639.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.011,0.011,0.000
SER_235338AAA597639.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.008,0.008,0.000
SER_235338AAA597639.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.015,0.015,0.000
SER_235338AAA597639.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.200,0.200,0.009,0.009,0.000
SER_235338AAA597639.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.034,0.034,0.000
SER_235338AAA597639.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.037,0.037,0.000
SER_235338AAA597639.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.041,0.041,0.000
SER_235338AAA597639.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.042,0.042,0.000
SER_235338AAA597639.PDF,PAGINA 5,LOC28,Z,-9.050,0.050,0.050,-9.058,-0.008,0.000
SER_235338AAA597639.PDF,PAGINA 5,LOC22,R,0.500,0.100,0.100,0.512,0.012,0.000
SER_235338AAA597639.PDF,PAGINA 5,DIST11,M,81.400,0.050,0.050,81.374,-0.026,0.000
SER_235338AAA597639.PDF,PAGINA 6,DIST12,M,115.550,0.300,0.300,115.545,-0.005,0.000
SER_235338AAA597639.PDF,PAGINA 6,LOC23,R,0.500,0.100,0.100,0.517,0.017,0.000
SER_235338AAA597639.PDF,PAGINA 6,DIST9,M,4.800,0.300,0.300,4.909,0.109,0.000
SER_235338AAA597639.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.034,0.034,0.000
SER_235338AAA597639.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.032,0.032,0.000
SER_235338AAA597639.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.014,0.014,0.000
