PartName;Fisier;Caracteristica;Cod;Axa;NOMINAL;+TOL;-TOL;MEAS;DEV;OUTTOL
N/A;SER_235338AAA597648.PDF;Pagina 1;N/A;D;19.000;0.150;0.150;18.996;-0.004;0.000
N/A;SER_235338AAA597648.PDF;Pagina 1;N/A;R;3.000;0.300;0.300;2.969;-0.031;0.000
N/A;SER_235338AAA597648.PDF;Pagina 1;N/A;R;3.000;0.300;0.300;2.970;-0.030;0.000
N/A;SER_235338AAA597648.PDF;Pagina 1;N/A;R;2.000;0.300;0.300;1.968;-0.032;0.000
N/A;SER_235338AAA597648.PDF;Pagina 1;N/A;R;2.000;0.300;0.300;1.902;-0.098;0.000
N/A;SER_235338AAA597648.PDF;Pagina 1;N/A;M;17.000;0.001;0.001;17.000;0.000;0.000
N/A;SER_235338AAA597648.PDF;Pagina 2;N/A;R;91.500;0.300;0.300;91.471;-0.029;0.000
N/A;SER_235338AAA597648.PDF;Pagina 2;N/A;R;5.000;0.100;0.100;5.018;0.018;0.000
N/A;SER_235338AAA597648.PDF;Pagina 2;N/A;R;5.000;0.100;0.100;5.008;0.008;0.000
N/A;SER_235338AAA597648.PDF;Pagina 2;N/A;M;6.720;0.100;0.100;6.750;0.030;0.000
N/A;SER_235338AAA597648.PDF;Pagina 2;N/A;M;6.720;0.100;0.100;6.751;0.031;0.000
N/A;SER_235338AAA597648.PDF;Pagina 2;N/A;D;8.440;0.020;0.020;8.443;0.003;0.000
N/A;SER_235338AAA597648.PDF;Pagina 2;N/A;M;0.000;0.050;0.000;0.008;0.008;0.000
N/A;SER_235338AAA597648.PDF;POSITION MM;N/A;A;0.000;0.050;0.040;0.040;-90.000;0.000
N/A;SER_235338AAA597648.PDF;Pagina 3;N/A;D;11.500;0.100;0.100;11.551;0.051;0.000
N/A;SER_235338AAA597648.PDF;Pagina 3;N/A;M;9.050;0.050;0.050;9.069;0.019;0.000
N/A;SER_235338AAA597648.PDF;Pagina 3;N/A;M;9.050;0.050;0.050;9.063;0.013;0.000
N/A;SER_235338AAA597648.PDF;Pagina 3;N/A;M;0.000;0.200;0.200;0.028;0.028;0.000
N/A;SER_235338AAA597648.PDF;Pagina 3;N/A;M;0.000;0.200;0.200;0.018;0.018;0.000
N/A;SER_235338AAA597648.PDF;Pagina 3;N/A;M;0.000;0.200;0.200;0.030;0.030;0.000
N/A;SER_235338AAA597648.PDF;Pagina 4;N/A;M;0.000;0.200;0.200;0.024;0.024;0.000
N/A;SER_235338AAA597648.PDF;Pagina 4;N/A;M;0.000;0.100;0.100;0.032;0.032;0.000
N/A;SER_235338AAA597648.PDF;Pagina 4;N/A;M;0.000;0.100;0.100;0.037;0.037;0.000
N/A;SER_235338AAA597648.PDF;Pagina 4;N/A;M;0.000;0.100;0.100;0.037;0.037;0.000
N/A;SER_235338AAA597648.PDF;Pagina 4;N/A;M;0.000;0.100;0.100;0.037;0.037;0.000
N/A;SER_235338AAA597648.PDF;Pagina 4;N/A;D;14.000;0.100;0.100;14.009;0.009;0.000
N/A;SER_235338AAA597648.PDF;Pagina 4;N/A;D;7.000;0.100;0.100;7.036;0.036;0.000
