PartName,Fisier,Caracteristica,Cod,Axa,NOMINAL,+TOL,-TOL,MEAS,DEV,OUTTOL
N/A,SER_235338AAA601220.PDF,Pagina 1,N/A,D,19.000,0.150,0.150,19.010,0.010,0.000
N/A,SER_235338AAA601220.PDF,Pagina 1,N/A,R,3.000,0.300,0.300,3.002,0.002,0.000
N/A,SER_235338AAA601220.PDF,Pagina 1,N/A,R,3.000,0.300,0.300,2.998,-0.002,0.000
N/A,SER_235338AAA601220.PDF,Pagina 1,N/A,R,2.000,0.300,0.300,1.942,-0.058,0.000
N/A,SER_235338AAA601220.PDF,Pagina 1,N/A,R,2.000,0.300,0.300,1.919,-0.081,0.000
N/A,SER_235338AAA601220.PDF,Pagina 1,N/A,M,17.000,0.001,0.001,17.000,0.000,0.000
N/A,SER_235338AAA601220.PDF,Pagina 2,N/A,R,91.500,0.300,0.300,91.471,-0.029,0.000
N/A,SER_235338AAA601220.PDF,Pagina 2,N/A,R,5.000,0.100,0.100,5.018,0.018,0.000
N/A,SER_235338AAA601220.PDF,Pagina 2,N/A,R,5.000,0.100,0.100,5.019,0.019,0.000
N/A,SER_235338AAA601220.PDF,Pagina 2,N/A,M,6.720,0.100,0.100,6.731,0.011,0.000
N/A,SER_235338AAA601220.PDF,Pagina 2,N/A,M,6.720,0.100,0.100,6.727,0.007,0.000
N/A,SER_235338AAA601220.PDF,Pagina 2,N/A,D,8.440,0.020,0.020,8.459,0.019,0.000
N/A,SER_235338AAA601220.PDF,Pagina 2,N/A,M,0.000,0.050,0.000,0.003,0.003,0.000
N/A,SER_235338AAA601220.PDF,POSITION MM,N/A,A,0.000,0.050,0.036,0.036,-90.000,0.000
N/A,SER_235338AAA601220.PDF,Pagina 3,N/A,D,11.500,0.100,0.100,11.487,-0.013,0.000
N/A,SER_235338AAA601220.PDF,Pagina 3,N/A,M,9.050,0.050,0.050,9.030,-0.020,0.000
N/A,SER_235338AAA601220.PDF,Pagina 3,N/A,M,9.050,0.050,0.050,9.066,0.016,0.000
N/A,SER_235338AAA601220.PDF,Pagina 3,N/A,M,0.000,0.200,0.200,0.005,0.005,0.000
N/A,SER_235338AAA601220.PDF,Pagina 3,N/A,M,0.000,0.200,0.200,0.013,0.013,0.000
N/A,SER_235338AAA601220.PDF,Pagina 3,N/A,M,0.000,0.200,0.200,0.008,0.008,0.000
N/A,SER_235338AAA601220.PDF,Pagina 4,N/A,M,0.000,0.200,0.200,0.010,0.010,0.000
N/A,SER_235338AAA601220.PDF,Pagina 4,N/A,M,0.000,0.100,0.100,0.040,0.040,0.000
N/A,SER_235338AAA601220.PDF,Pagina 4,N/A,M,0.000,0.100,0.100,0.045,0.045,0.000
N/A,SER_235338AAA601220.PDF,Pagina 4,N/A,M,0.000,0.100,0.100,0.044,0.044,0.000
N/A,SER_235338AAA601220.PDF,Pagina 4,N/A,M,0.000,0.100,0.100,0.045,0.045,0.000
