Fisier,Caracteristica,Cod,Axa,NOMINAL,+TOL,-TOL,MEAS,DEV,OUTTOL
SER_235338AAA597438.PDF,PAGINA 1,LOC43,R,3.000,0.300,0.300,2.973,-0.027,0.000
SER_235338AAA597438.PDF,PAGINA 1,LOC44,R,3.000,0.300,0.300,2.983,-0.017,0.000
SER_235338AAA597438.PDF,PAGINA 1,LOC16,R,2.000,0.300,0.300,2.041,0.041,0.000
SER_235338AAA597438.PDF,PAGINA 1,LOC17,R,2.000,0.300,0.300,1.969,-0.031,0.000
SER_235338AAA597438.PDF,PAGINA 1,DIST6,M,17.000,0.001,0.001,17.000,0.000,0.000
SER_235338AAA597438.PDF,PAGINA 2,LOC4Z,R,91.500,0.300,0.300,91.471,-0.029,0.000
SER_235338AAA597438.PDF,PAGINA 2,LOC25,R,5.000,0.100,0.100,5.009,0.009,0.000
SER_235338AAA597438.PDF,PAGINA 2,LOC26,R,5.000,0.100,0.100,5.009,0.009,0.000
SER_235338AAA597438.PDF,PAGINA 2,DIST8,M,6.720,0.100,0.100,6.770,0.050,0.000
SER_235338AAA597438.PDF,PAGINA 2,DIST1O,M,6.720,0.100,0.100,6.765,0.045,0.000
SER_235338AAA597438.PDF,PAGINA 2,nimicA,M,0.000,0.050,0.000,0.001,0.001,0.000
SER_235338AAA597438.PDF,PAGINA 3,DISTS,M,9.050,0.050,0.050,9.045,-0.005,0.000
SER_235338AAA597438.PDF,PAGINA 3,DIST7,M,9.050,0.050,0.050,9.048,-0.002,0.000
SER_235338AAA597438.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.015,0.015,0.000
SER_235338AAA597438.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.008,0.008,0.000
SER_235338AAA597438.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.018,0.018,0.000
