Fisier,Caracteristica,Cod,Axa,NOMINAL,+TOL,-TOL,MEAS,DEV,OUTTOL
SER_235338AAA517260.PDF,PAGINA 1,DIST1,M,4.000,0.100,0.100,4.031,0.031,0.000
SER_235338AAA517260.PDF,PAGINA 1,DIST2,M,1.000,0.100,0.100,1.017,0.017,0.000
SER_235338AAA517260.PDF,PAGINA 1,FCFPROF1,Z,1,2.391,0.864,0.033,0.000,0.000
SER_235338AAA517260.PDF,PAGINA 1,FCFPROF2,Z,1,0.150,0.037,0.079,0.000,0.000
SER_235338AAA517260.PDF,PAGINA 1,LOCZ,R,283.850,0.050,0.050,283.820,-0.030,0.000
SER_235338AAA517260.PDF,PAGINA 1,DIST3,M,1.000,0.100,0.100,1.023,0.023,0.000
SER_235338AAA517260.PDF,PAGINA 2,DIST4,M,4.000,0.100,0.100,4.037,0.037,0.000
SER_235338AAA517260.PDF,PAGINA 2,FCFPROF3,Z,1,0.041,0.005,0.019,0.000,0.000
SER_235338AAA517260.PDF,PAGINA 2,FCFPROF4,Z,1,0.008,0.009,0.089,0.000,0.000
SER_235338AAA517260.PDF,PAGINA 2,DISTS,M,7.200,0.100,0.100,7.222,0.022,0.000
SER_235338AAA517260.PDF,PAGINA 3,DIST16,M,7.200,0.100,0.100,7.237,0.037,0.000
SER_235338AAA517260.PDF,PAGINA 3,FCFPROFZ,Z,1,0.000,-0.157,0.676,0.000,0.000
SER_235338AAA517260.PDF,PAGINA 3,FCFPROF8,Z,1,0.000,-0.039,0.158,0.000,0.000
SER_235338AAA517260.PDF,PAGINA 3,DIST8,M,1.000,0.100,0.100,1.003,0.003,0.000
SER_235338AAA517260.PDF,PAGINA 3,LOC19,R,3.000,0.150,0.150,2.951,-0.049,0.000
SER_235338AAA517260.PDF,PAGINA 3,LOC2O,R,3.000,0.150,0.150,2.998,-0.002,0.000
SER_235338AAA517260.PDF,PAGINA 4,LOC21,R,3.000,0.150,0.150,2.977,-0.023,0.000
SER_235338AAA517260.PDF,PAGINA 4,LOC22,R,3.000,0.150,0.150,2.992,-0.008,0.000
SER_235338AAA517260.PDF,PAGINA 4,LOC23,R,3.000,0.150,0.150,2.944,-0.056,0.000
SER_235338AAA517260.PDF,PAGINA 4,LOC24,R,3.000,0.150,0.150,2.981,-0.019,0.000
SER_235338AAA517260.PDF,PAGINA 4,DIST9,M,3.050,0.100,0.100,3.085,0.035,0.000
SER_235338AAA517260.PDF,PAGINA 4,DIST1O,M,6.850,0.100,0.100,6.872,0.022,0.000
SER_235338AAA517260.PDF,PAGINA 4,DIST11,M,3.050,0.100,0.100,3.117,0.067,0.000
SER_235338AAA517260.PDF,PAGINA 4,DIST17,M,6.850,0.100,0.100,6.916,0.066,0.000
SER_235338AAA517260.PDF,PAGINA 4,DIST18,M,1.610,0.100,0.100,1.622,0.013,0.000
SER_235338AAA517260.PDF,PAGINA 4,DIST19,M,1.100,0.100,0.100,1.110,0.010,0.000
SER_235338AAA517260.PDF,PAGINA 4,DIST47,M,1.600,0.100,0.100,1.622,0.022,0.000
SER_235338AAA517260.PDF,PAGINA 4,DIST2O,M,2.050,0.150,0.150,2.087,0.037,0.000
SER_235338AAA517260.PDF,PAGINA 5,DIST21,M,1.600,0.100,0.100,1.652,0.052,0.000
SER_235338AAA517260.PDF,PAGINA 5,DIST21,M,1.610,0.100,0.100,1.652,0.042,0.000
SER_235338AAA517260.PDF,PAGINA 5,DIST38,M,1.100,0.100,0.100,1.106,0.006,0.000
SER_235338AAA517260.PDF,PAGINA 5,DIST22,M,2.000,0.100,0.100,2.014,0.014,0.000
SER_235338AAA517260.PDF,PAGINA 5,DIST23,M,2.000,0.100,0.100,1.934,-0.066,0.000
SER_235338AAA517260.PDF,PAGINA 5,DIST24,M,1.610,0.100,0.100,1.615,0.005,0.000
SER_235338AAA517260.PDF,PAGINA 5,DIST25,M,1.100,0.100,0.100,1.130,0.030,0.000
SER_235338AAA517260.PDF,PAGINA 5,DIST41,M,1.100,0.100,0.100,1.125,0.024,0.000
SER_235338AAA517260.PDF,PAGINA 5,DIST44,M,1.600,0.100,0.100,1.610,0.010,0.000
SER_235338AAA517260.PDF,PAGINA 6,DIST44,M,1.610,0.100,0.100,1.610,0.000,0.000
SER_235338AAA517260.PDF,PAGINA 6,DIST26,M,2.050,0.150,0.150,2.039,-0.011,0.000
SER_235338AAA517260.PDF,PAGINA 6,DIST12,M,1.100,0.100,0.100,1.129,0.029,0.000
SER_235338AAA517260.PDF,PAGINA 6,DIST15,M,6.800,0.100,0.100,6.828,0.028,0.000
SER_235338AAA517260.PDF,PAGINA 6,DIST31,M,6.800,0.100,0.100,6.871,-0.071,0.000
SER_235338AAA517260.PDF,PAGINA 6,DIST34,M,1.000,0.100,0.100,0.997,-0.003,0.000
SER_235338AAA517260.PDF,PAGINA 6,DIST35,M,1.000,0.100,0.100,0.992,-0.008,0.000
SER_235338AAA517261.PDF,PAGINA 1,DIST1,M,4.000,0.100,0.100,4.033,0.033,0.000
SER_235338AAA517261.PDF,PAGINA 1,DIST2,M,1.000,0.100,0.100,1.018,0.018,0.000
SER_235338AAA517261.PDF,PAGINA 1,FCFPROF1,Z,1,0.013,0.028,0.121,0.000,0.000
SER_235338AAA517261.PDF,PAGINA 1,FCFPROF2,Z,1,0.019,-0.016,0.127,0.000,0.000
SER_235338AAA517261.PDF,PAGINA 1,LOCZ,R,283.850,0.050,0.050,283.842,-0.008,0.000
SER_235338AAA517261.PDF,PAGINA 1,DIST3,M,1.000,0.100,0.100,1.005,0.005,0.000
SER_235338AAA517261.PDF,PAGINA 2,DIST4,M,4.000,0.100,0.100,4.037,0.037,0.000
SER_235338AAA517261.PDF,PAGINA 2,FCFPROF3,Z,1,-0.270,-0.048,0.027,0.000,0.000
SER_235338AAA517261.PDF,PAGINA 2,FCFPROF4,Z,1,0.057,0.016,0.072,0.000,0.000
